Product ID,Product Owner,Product Owner ID,Product Name,Product Code,Product Active,Product Category,Created By,Created by ID,Modified By,Modified by ID,Created Time,Modified Time,Unit Price,Description,Tag
,Joyce Somerville,zcrm_7374418000000602001,Baby Fresh,,TRUE,Body Butter,,,,,,,15,8oz Body Butter,
,Joyce Somerville,,Black Panther,,TRUE,Body Butter,,,,,,,15,8oz Body Butter,
,Joyce Somerville,,Butter Cream,,TRUE,Body Butter,,,,,,,15,8oz Body Butter,
,Joyce Somerville,,Georgia Peach,,TRUE,Body Butter,,,,,,,15,8oz Body Butter,
,Joyce Somerville,,Kool Waves,,TRUE,Body Butter,,,,,,,15,8oz Body Butter,
,Joyce Somerville,,Lavender,,TRUE,Body Butter,,,,,,,15,8oz Body Butter,
,Joyce Somerville,,Lemon Breeze,,TRUE,Body Butter,,,,,,,15,8oz Body Butter,
,Joyce Somerville,,Mango Mania,,TRUE,Body Butter,,,,,,,15,8oz Body Butter,
,Joyce Somerville,,Natural,,TRUE,Body Butter,,,,,,,15,8oz Body Butter,
,Joyce Somerville,,Pink Sugar,,TRUE,Body Butter,,,,,,,15,8oz Body Butter,
,Joyce Somerville,,Baby Fresh,,TRUE,Body Butter,,,,,,,7,2oz Body Butter,
,Joyce Somerville,,Black Panther,,TRUE,Body Butter,,,,,,,7,2oz Body Butter,
,Joyce Somerville,,Butter Cream,,TRUE,Body Butter,,,,,,,7,2oz Body Butter,
,Joyce Somerville,,Georgia Peach,,TRUE,Body Butter,,,,,,,7,2oz Body Butter,
,Joyce Somerville,,Kool Waves,,TRUE,Body Butter,,,,,,,7,2oz Body Butter,
,Joyce Somerville,,Lavender,,TRUE,Body Butter,,,,,,,7,2oz Body Butter,
,Joyce Somerville,,Lemon Breeze,,TRUE,Body Butter,,,,,,,7,2oz Body Butter,
,Joyce Somerville,,Mango Mania,,TRUE,Body Butter,,,,,,,7,2oz Body Butter,
,Joyce Somerville,,Natural,,TRUE,Body Butter,,,,,,,7,2oz Body Butter,
,Joyce Somerville,,Pink Sugar,,TRUE,Body Butter,,,,,,,7,2oz Body Butter,
,Joyce Somerville,,Baby Fresh,,TRUE,Body Mist,,,,,,,5,1.7oz Body Mist,
,Joyce Somerville,,Black Panther,,TRUE,Body Mist,,,,,,,5,1.7oz Body Mist,
,Joyce Somerville,,Butter Cream,,TRUE,Body Mist,,,,,,,5,1.7oz Body Mist,
,Joyce Somerville,,Georgia Peach,,TRUE,Body Mist,,,,,,,5,1.7oz Body Mist,
,Joyce Somerville,,Kool Waves,,TRUE,Body Mist,,,,,,,5,1.7oz Body Mist,
,Joyce Somerville,,Lavender,,TRUE,Body Mist,,,,,,,5,1.7oz Body Mist,
,Joyce Somerville,,Lemon Breeze,,TRUE,Body Mist,,,,,,,5,1.7oz Body Mist,
,Joyce Somerville,,Mango Mania,,TRUE,Body Mist,,,,,,,5,1.7oz Body Mist,
,Joyce Somerville,,Pink Sugar,,TRUE,Body Mist,,,,,,,5,1.7oz Body Mist,
,Joyce Somerville,,Baby Fresh,,TRUE,Body Mist,,,,,,,10,4oz Body Mist,
,Joyce Somerville,,Black Panther,,TRUE,Body Mist,,,,,,,10,4oz Body Mist,
,Joyce Somerville,,Butter Cream,,TRUE,Body Mist,,,,,,,10,4oz Body Mist,
,Joyce Somerville,,Georgia Peach,,TRUE,Body Mist,,,,,,,10,4oz Body Mist,
,Joyce Somerville,,Kool Waves,,TRUE,Body Mist,,,,,,,10,4oz Body Mist,
,Joyce Somerville,,Lavender,,TRUE,Body Mist,,,,,,,10,4oz Body Mist,
,Joyce Somerville,,Lemon Breeze,,TRUE,Body Mist,,,,,,,10,4oz Body Mist,
,Joyce Somerville,,Mango Mania,,TRUE,Body Mist,,,,,,,10,4oz Body Mist,
,Joyce Somerville,,Pink Sugar,,TRUE,Body Mist,,,,,,,10,4oz Body Mist,
